table;dur;birth;death;chngs;s@s;s@e;sAvg
acl_classes;2;0;-;0;2;2;2.0
acl_entries;2;0;-;0;11;11;11.0
acl_object_identities;2;0;-;0;5;5;5.0
acl_object_identity_ancestors;2;0;-;0;2;2;2.0
acl_security_identities;2;0;-;0;3;3;3.0
