;0;1;2;3;4;5;6;7;8;
aggregate_loss;0;0;0;-;-;-;-;-;-;
aggregate_loss_curve_data;0;0;0;-;-;-;-;-;-;
assoc_lt_rlz_trt_model;0;0;0;-;-;-;-;-;-;
bcr_distribution;0;0;0;-;-;-;-;-;-;
bcr_distribution_data;0;0;0;-;-;-;-;-;-;
cost;0;0;0;-;-;-;-;-;-;
cost_type;0;0;0;-;-;-;-;-;-;
disagg_result;0;0;0;-;-;-;-;-;-;
dmg_dist_per_asset;0;0;0;-;-;-;-;-;-;
dmg_dist_per_taxonomy;0;0;0;-;-;-;-;-;-;
dmg_dist_total;0;0;0;-;-;-;-;-;-;
dmg_state;0;0;0;-;-;-;-;-;-;
event_loss;0;0;0;-;-;-;-;-;-;
event_loss_data;0;0;0;-;-;-;-;-;-;
exposure_data;0;0;0;-;-;-;-;-;-;
exposure_model;0;0;0;-;-;-;-;-;-;
gmf;0;0;0;-;-;-;-;-;-;
gmf_data;0;0;0;-;-;-;-;-;-;
gmf_rupture;0;0;0;-;-;-;-;-;-;
hazard_calculation;0;0;0;-;-;-;-;-;-;
hazard_curve;0;0;0;-;-;-;-;-;-;
hazard_curve_data;0;0;0;-;-;-;-;-;-;
hazard_map;0;0;0;-;-;-;-;-;-;
hazard_site;0;0;0;-;-;-;-;-;-;
imt;0;0;0;-;-;-;-;-;-;
job;-;-;-;0;0;0;0;0;0;
job_stats;0;0;0;-;-;-;-;-;-;
log;-;-;-;0;0;0;0;0;0;
loss_curve;0;0;0;-;-;-;-;-;-;
loss_curve_data;0;0;0;-;-;-;-;-;-;
loss_fraction;0;0;0;-;-;-;-;-;-;
loss_fraction_data;0;0;0;-;-;-;-;-;-;
loss_map;0;0;0;-;-;-;-;-;-;
loss_map_data;0;0;0;-;-;-;-;-;-;
lt_realization;0;0;0;-;-;-;-;-;-;
lt_source_model;0;0;0;-;-;-;-;-;-;
occupancy;0;0;0;-;-;-;-;-;-;
oq_job;0;0;0;-;-;-;-;-;-;
output;0;0;0;1;0;0;0;0;0;
performance;0;0;0;7;0;0;0;0;0;
probabilistic_rupture;0;0;0;-;-;-;-;-;-;
risk_calculation;0;0;0;-;-;-;-;-;-;
ses_collection;0;0;0;-;-;-;-;-;-;
ses_rupture;0;0;0;-;-;-;-;-;-;
site_model;0;0;0;-;-;-;-;-;-;
source_info;0;0;0;-;-;-;-;-;-;
trt_model;0;0;0;-;-;-;-;-;-;
uhs;0;0;0;-;-;-;-;-;-;
uhs_data;0;0;0;-;-;-;-;-;-;
