table;dur;birth;death;chngs;s@s;s@e;sAvg
aggregate_loss;3;0;2;0;6;6;6.0
aggregate_loss_curve_data;3;0;2;0;6;6;6.0
assoc_lt_rlz_trt_model;3;0;2;0;4;4;4.0
bcr_distribution;3;0;2;0;4;4;4.0
bcr_distribution_data;3;0;2;0;6;6;6.0
cost;3;0;2;0;7;7;7.0
cost_type;3;0;2;0;7;7;7.0
disagg_result;3;0;2;0;16;16;16.0
dmg_dist_per_asset;3;0;2;0;6;6;6.0
dmg_dist_per_taxonomy;3;0;2;0;6;6;6.0
dmg_dist_total;3;0;2;0;5;5;5.0
dmg_state;3;0;2;0;5;5;5.0
event_loss;3;0;2;0;4;4;4.0
event_loss_data;3;0;2;0;4;4;4.0
exposure_data;3;0;2;0;7;7;7.0
exposure_model;3;0;2;0;10;10;10.0
gmf;3;0;2;0;3;3;3.0
gmf_data;3;0;2;0;9;9;9.0
gmf_rupture;3;0;2;0;5;5;5.0
hazard_calculation;3;0;2;0;39;39;39.0
hazard_curve;3;0;2;0;10;10;10.0
hazard_curve_data;3;0;2;0;4;4;4.0
hazard_map;3;0;2;0;13;13;13.0
hazard_site;3;0;2;0;3;3;3.0
imt;3;0;2;0;5;5;5.0
job;6;3;-;0;11;11;11.0
job_stats;3;0;2;0;5;5;5.0
log;6;3;-;0;6;6;6.0
loss_curve;3;0;2;0;8;8;8.0
loss_curve_data;3;0;2;0;8;8;8.0
loss_fraction;3;0;2;0;8;8;8.0
loss_fraction_data;3;0;2;0;4;4;4.0
loss_map;3;0;2;0;8;8;8.0
loss_map_data;3;0;2;0;5;5;5.0
lt_realization;3;0;2;0;5;5;5.0
lt_source_model;3;0;2;0;6;6;6.0
occupancy;3;0;2;0;4;4;4.0
oq_job;3;0;2;0;15;15;15.0
output;9;0;-;5;5;5;5.0
performance;9;0;-;13;9;6;7.0
probabilistic_rupture;3;0;2;0;10;10;10.0
risk_calculation;3;0;2;0;26;26;26.0
ses_collection;3;0;2;0;4;4;4.0
ses_rupture;3;0;2;0;5;5;5.0
site_model;3;0;2;0;6;6;6.0
source_info;3;0;2;0;8;8;8.0
trt_model;3;0;2;0;8;8;8.0
uhs;3;0;2;0;8;8;8.0
uhs_data;3;0;2;0;3;3;3.0
