table;dur;birth;death;chngs;s@s;s@e;sAvg
chatbot_log;20;25;-;0;2;2;2.0
checklist_types;13;31;43;1;2;3;2.8461537
checklists;10;23;-;3;5;6;5.6
checklists_kb;22;23;-;17;11;12;11.636364
checklists_post;21;23;-;0;6;6;6.0
checklists_results;22;23;-;0;7;7;7.0
code_items;20;23;-;0;4;4;4.0
comments;22;23;-;0;7;7;7.0
counter;5;18;22;0;4;4;4.0
groupMembers;5;18;22;0;5;5;5.0
groupmembers;22;23;-;0;5;5;5.0
groups;27;18;-;0;4;4;4.0
kb_items;20;23;-;0;3;3;3.0
logs;22;23;-;0;8;8;8.0
parameters;23;0;22;1;7;8;7.2608695
privileges;28;17;-;0;2;2;2.0
project_sprints;22;23;-;0;5;5;5.0
projects;45;0;-;8;5;9;7.311111
question_pre_results;22;23;-;0;4;4;4.0
question_sprint_results;22;23;-;0;5;5;5.0
questionlist;23;0;22;1;8;9;8.26087
questions_pre;22;23;-;7;2;3;3.1818182
questions_sprint;22;23;-;7;2;3;3.2272727
techhacks;23;0;22;0;3;3;3.0
users;28;17;-;4;5;8;7.821429
