;0;1;2;3;
participant;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];5[1|0|0|0];
rwd_basic;12[0|0|0|0];0|-|-|-|-;12[0|0|0|0];13[1|0|4|0];
rwd_custom;12[0|0|0|0];10[1|3|1|0];10[0|0|2|0];12[2|0|3|0];
rwd_extra;9[0|0|0|0];9[0|0|0|0];9[0|0|1|0];11[3|1|3|0];
subject;3[0|0|0|0];4[1|0|0|0];4[0|0|1|0];4[0|0|2|0];
