;0;1;2;
contest;0|-|-|-|-;0|-|-|-|-;5[0|0|0|0];
contestlogs;0|-|-|-|-;0|-|-|-|-;5[0|0|0|0];
problem;14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];
problemlogs;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
testcases;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
user;9[0|0|0|0];9[0|0|1|0];9[0|0|0|0];
