;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
bills;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;
device_events;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;
devices;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;
pairing_tokens;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
transactions;12;12;12;11;11;11;11;11;11;11;11;11;11;11;11;11;
user_config;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
users;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
