;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
pages;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;
tx_kesearch_filteroptions;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;
tx_kesearch_filters;21;18;18;18;18;18;18;18;18;18;18;18;18;18;18;
tx_kesearch_index;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;
tx_kesearch_indexerconfig;32;32;33;30;31;31;32;32;33;33;33;33;33;31;31;
tx_kesearch_stat_search;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
tx_kesearch_stat_word;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
