;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
pages;1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];3[2|0|0|0];3[1|1|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
tx_kesearch_filteroptions;15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];
tx_kesearch_filters;21[0|0|0|0];18[0|3|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];18[0|0|0|0];
tx_kesearch_index;21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|1|0];21[0|0|0|0];21[0|0|0|0];
tx_kesearch_indexerconfig;32[0|0|0|0];32[0|0|0|0];33[1|0|0|0];30[0|3|0|0];31[1|0|0|0];31[0|0|0|0];32[1|0|0|0];32[0|0|1|0];33[1|0|0|0];33[0|0|0|0];33[0|0|0|0];33[0|0|0|0];33[0|0|0|0];31[0|2|0|0];31[0|0|0|0];
tx_kesearch_stat_search;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
tx_kesearch_stat_word;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
