;0;1;2;3;
endentities;6[0|0|0|0];7[1|0|0|0];7[0|0|0|0];7[0|0|0|0];
endentities_lock;0|-|-|-|-;0|-|-|-|-;4[0|0|0|0];4[0|0|0|0];
