;0;1;2;3;4;5;6;7;8;9;10;11;12;
alerts;27;27;27;27;27;27;27;27;27;27;27;27;27;
blackouts;12;12;12;12;12;12;12;12;12;12;12;12;12;
customers;3;3;3;3;3;3;3;3;3;3;3;3;3;
groups;0;0;0;0;0;0;0;0;7;7;7;7;7;
heartbeats;8;8;8;8;8;8;8;8;8;8;8;8;8;
keys;8;8;8;8;8;8;8;8;8;8;8;8;8;
metrics;8;8;8;8;8;8;8;8;8;8;8;8;8;
perms;3;3;3;3;3;3;3;3;3;3;3;3;3;
users;10;13;13;13;13;13;13;13;13;13;13;13;13;
