;0;1;2;
geocoder_data;0|-|-|-|-;0|-|-|-|-;3[0|0|0|0];
grid_key;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
grid_utfgrid;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
images;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
keymap;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
map;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
metadata;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
