table;dur;birth;death;chngs;s@s;s@e;sAvg
acos;27;0;-;0;7;7;7.0
block_regions;27;0;-;0;5;5;5.0
blocks;27;0;-;1;13;12;12.666667
blocks_roles;27;0;-;0;4;4;4.0
comments;27;0;-;0;16;16;16.0
content_revisions;12;15;-;0;6;6;6.0
content_type_permissions;12;15;-;0;5;5;5.0
content_types;12;15;-;0;7;7;7.0
contents;12;15;-;0;17;17;17.0
contents_roles;12;15;-;0;4;4;4.0
eav_attributes;20;7;-;0;7;7;7.0
eav_values;22;5;-;17;11;16;12.045455
entities_terms;27;0;-;0;5;5;5.0
field_instances;27;0;-;4;12;12;12.148149
field_values;5;0;4;10;8;13;10.0
languages;27;0;-;0;8;8;8.0
menu_links;27;0;-;0;14;14;14.0
menus;27;0;-;0;7;7;7.0
node_revisions;15;0;14;1;5;6;5.0666666
node_type_permissions;1;14;14;0;5;5;5.0
node_types;15;0;14;0;7;7;7.0
nodes;15;0;14;0;17;17;17.0
nodes_roles;15;0;14;0;4;4;4.0
options;27;0;-;0;5;5;5.0
permissions;27;0;-;0;3;3;3.0
plugins;27;0;-;0;6;6;6.0
roles;27;0;-;0;3;3;3.0
search_datasets;27;0;-;1;4;4;4.0
terms;27;0;-;0;9;9;9.0
users;27;0;-;0;15;15;15.0
users_roles;27;0;-;0;4;4;4.0
vocabularies;27;0;-;0;9;9;9.0
