trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1453858678;1416009267.sql;1453858678.sql;2;2;9;9;2;2;0;0;0;0;9;9
2;1457031895;1453858678.sql;1457031895.sql;2;2;9;9;0;0;1;1;0;0;0;0
3;1457039087;1457031895.sql;1457039087.sql;2;2;9;10;0;0;1;0;1;0;0;0
4;1460493358;1457039087.sql;1460493358.sql;2;2;10;10;0;0;2;2;0;0;0;0
5;1461192200;1460493358.sql;1461192200.sql;2;2;10;10;0;0;0;0;0;0;0;0
6;1493925652;1461192200.sql;1493925652.sql;2;3;10;15;1;0;0;0;0;0;5;0
7;1513378874;1493925652.sql;1513378874.sql;3;4;15;17;1;0;0;0;0;0;2;0
