trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1449659873		1449659873.sql	2015-12-09 11:17:53	0	0	0	0	6	0	31	6	0	31	0	0	0	0	0	0	0	31	0	0	31	0	31	1	0	1
1	1450344318	1449659873.sql	1450344318.sql	2015-12-17 09:25:18	7	1	1	6	6	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1480419915	1450344318.sql	1480419915.sql	2016-11-29 11:45:15	356	1	12	6	6	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1480424638	1480419915.sql	1480424638.sql	2016-11-29 13:03:58	356	1	12	6	6	31	32	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
4	1480486109	1480424638.sql	1480486109.sql	2016-11-30 06:08:29	356	1	12	6	5	32	33	0	1	0	3	4	0	0	0	-1	1	4	3	0	4	3	7	0	1	1
5	1480575875	1480486109.sql	1480575875.sql	2016-12-01 07:04:35	357	1	12	5	5	33	34	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
6	1484568952	1480575875.sql	1484568952.sql	2017-01-16 12:15:52	404	2	14	5	5	34	37	0	0	0	0	3	0	0	0	0	3	3	0	0	3	0	3	0	1	1
7	1485942718	1484568952.sql	1485942718.sql	2017-02-01 09:51:58	419	2	14	5	6	37	47	1	0	10	0	0	0	0	0	1	10	10	0	0	10	0	10	0	1	1
8	1485946722	1485942718.sql	1485946722.sql	2017-02-01 10:58:42	419	2	14	6	6	47	47	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
9	1485948246	1485946722.sql	1485948246.sql	2017-02-01 11:24:06	420	2	14	6	6	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1486114771	1485948246.sql	1486114771.sql	2017-02-03 09:39:31	421	2	14	6	6	47	47	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
11	1491564335	1486114771.sql	1491564335.sql	2017-04-07 11:25:35	485	2	16	6	6	47	47	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
12	1501758503	1491564335.sql	1501758503.sql	2017-08-03 11:08:23	602	2	20	6	6	47	56	0	0	0	0	9	0	0	0	0	9	9	0	0	9	0	9	0	1	1
