Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
note	2	0	-	1	2014-08-14 09:42:55	2014-08-18 12:33:31	0	1	4	6	6	6	1	0	0	0	0		20	0	20
user	2	0	-	1	2014-08-14 09:42:55	2014-08-18 12:33:31	0	1	4	8	8	8	1	0	0	0	0		20	0	20
