Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
plugins	2	0	-	1	2017-09-02 13:35:57	2017-09-05 20:33:37	0	1	3	4	4	4	1	0	0	0	0		20	0	20
users	2	0	-	1	2017-09-02 13:35:57	2017-09-05 20:33:37	0	1	3	4	4	4	1	0	0	0	0		20	0	20
users_roles	1	1	-	1	2017-09-05 20:33:37	2017-09-05 20:33:37	1	1	0	2	2	2	1	0	0	0	0		20	0	20
