;0;1;2;3;4;
core;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];6[1|0|0|0];7[1|0|0|0];
core_key;2[0|0|0|0];3[1|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
user;0|-|-|-|-;0|-|-|-|-;8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
