table;dur;birth;death;chngs;s@s;s@e;sAvg
applications;9;0;-;2;4;6;5.5555553
applications_audit;9;0;-;2;6;6;6.0
artifact_assignments;9;0;-;2;7;7;7.0
artifact_assignments_audit;1;8;-;0;8;8;8.0
artifact_notes;9;0;-;2;5;5;5.0
artifact_types;9;0;-;0;2;2;2.0
artifacts;9;0;-;0;7;7;7.0
deployment_time_windows;4;5;-;0;11;11;11.0
deploys;9;0;-;2;6;8;7.5555553
deploys_audit;9;0;-;3;8;9;8.222222
envs;9;0;-;0;2;2;2.0
group_assignments;9;0;-;2;6;6;6.0
group_assignments_audit;9;0;-;2;7;7;7.0
group_perms;9;0;-;0;4;4;4.0
groups;9;0;-;2;5;5;5.0
jenkins_instances;3;6;-;0;5;5;5.0
jenkins_templates;3;6;-;0;6;6;6.0
lifecycles;9;0;-;0;2;2;2.0
repo_types;9;0;-;0;2;2;2.0
repo_urls;9;0;-;1;4;4;4.0
repos;9;0;-;0;3;3;3.0
user_group_assignments;8;1;-;2;6;6;6.0
users;8;1;-;2;10;10;10.0
