;0;1;2;3;4;5;6;
rocket_content_item;3;3;3;3;3;3;3;
rocket_critmod_save;0;6;6;6;6;5;5;
rocket_custom_grant;0;5;5;5;5;5;5;
rocket_ei_grant;0;5;5;5;5;5;5;
rocket_ei_grant_privileges;0;0;0;0;0;5;5;
rocket_filter;5;0;0;0;0;0;0;
rocket_login;7;7;7;7;7;7;7;
rocket_translation_rocket_content_item;3;0;0;0;0;0;0;
rocket_user;7;7;7;7;7;7;7;
rocket_user_access_grant;7;7;7;7;7;7;7;
rocket_user_group;2;3;3;3;3;3;3;
rocket_user_privileges_grant;5;6;6;6;6;0;0;
rocket_user_rocket_user_groups;0;2;2;2;2;2;2;
rocket_user_script_grant;5;0;0;0;0;0;0;
rocket_user_user_groups;2;0;0;0;0;0;0;
