;0;1;2;3;4;5;6;
rocket_content_item;0;0;0;0;0;0;0;
rocket_critmod_save;-;0;0;0;0;0;0;
rocket_custom_grant;-;0;0;0;0;0;0;
rocket_ei_grant;-;0;0;0;0;0;0;
rocket_ei_grant_privileges;-;-;-;-;-;0;0;
rocket_filter;0;-;-;-;-;-;-;
rocket_login;0;0;0;0;0;0;0;
rocket_translation_rocket_content_item;0;-;-;-;-;-;-;
rocket_user;0;0;0;0;0;0;0;
rocket_user_access_grant;0;0;0;0;0;0;0;
rocket_user_group;0;0;0;0;0;0;0;
rocket_user_privileges_grant;0;0;0;0;0;-;-;
rocket_user_rocket_user_groups;-;0;0;0;0;0;0;
rocket_user_script_grant;0;-;-;-;-;-;-;
rocket_user_user_groups;0;-;-;-;-;-;-;
