;0;1;2;3;4;5;6;7;
address;2;2;2;2;2;2;2;2;
bech32;0;0;0;0;0;0;0;2;
blkdat;0;0;0;0;0;0;0;5;
blocks;3;3;3;3;3;3;3;5;
info;0;0;0;0;0;0;3;3;
mempool;0;2;2;2;2;2;2;2;
orphans;0;0;0;0;0;5;5;5;
outputs;4;4;4;4;4;4;4;4;
trxs;4;4;4;4;4;7;7;7;
