;0;1;2;3;4;5;6;7;
address;0;0;1;0;0;0;0;0;
bech32;-;-;-;-;-;-;-;0;
blkdat;-;-;-;-;-;-;-;0;
blocks;0;0;0;0;0;0;0;0;
info;-;-;-;-;-;-;0;2;
mempool;-;0;1;0;0;0;0;0;
orphans;-;-;-;-;-;0;0;0;
outputs;0;1;4;0;0;0;0;0;
trxs;0;0;1;0;0;2;0;1;
