;0;1;2;3;4;
http_status_codes;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
lnav_example_log;0|-|-|-|-;0|-|-|-|-;11[0|0|0|0];12[1|0|0|0];12[0|0|0|0];
