;0;1;2;
AccessTokens;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
AuthorizationCodes;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
RefreshTokens;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
