;0;1;2;3;4;5;6;7;8;9;10;11;12;13;
commit_comments;9;9;9;9;9;9;9;9;9;9;9;9;9;9;
commit_parents;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
commits;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
followers;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
issue_comments;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
issue_events;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
issue_labels;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
issues;9;9;9;9;9;9;9;9;9;9;9;9;9;9;
organization_members;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
project_commits;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
project_languages;0;0;0;0;0;5;5;5;5;5;5;5;5;5;
project_members;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
project_topics;0;0;0;0;0;0;0;0;0;0;0;0;5;5;
projects;10;10;10;10;10;11;11;11;11;11;11;11;11;11;
pull_request_comments;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
pull_request_commits;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
pull_request_history;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
pull_requests;9;8;8;8;8;8;8;8;8;8;8;8;8;8;
repo_labels;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
repo_milestones;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
schema_info;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
users;11;11;11;16;16;16;16;16;16;16;14;14;14;14;
watchers;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
