table;dur;birth;death;chngs;s@s;s@e;sAvg
commit_comments;14;0;-;0;9;9;9.0
commit_parents;14;0;-;0;3;3;3.0
commits;14;0;-;0;7;7;7.0
followers;14;0;-;0;4;4;4.0
issue_comments;14;0;-;0;5;5;5.0
issue_events;14;0;-;0;7;7;7.0
issue_labels;14;0;-;0;3;3;3.0
issues;14;0;-;1;9;9;9.0
organization_members;14;0;-;0;4;4;4.0
project_commits;14;0;-;0;3;3;3.0
project_languages;9;5;-;0;5;5;5.0
project_members;14;0;-;0;5;5;5.0
project_topics;2;12;-;0;5;5;5.0
projects;14;0;-;1;10;11;10.642858
pull_request_comments;14;0;-;0;8;8;8.0
pull_request_commits;14;0;-;0;3;3;3.0
pull_request_history;14;0;-;0;6;6;6.0
pull_requests;14;0;-;1;9;8;8.071428
repo_labels;14;0;-;0;4;4;4.0
repo_milestones;14;0;-;0;4;4;4.0
schema_info;14;0;-;0;2;2;2.0
users;14;0;-;8;11;14;14.357142
watchers;14;0;-;0;4;4;4.0
