;0;1;2;3;4;5;6;
download;0|-|-|-|-;6[0|0|0|0];9[3|0|0|0];11[2|0|0|0];9[0|2|0|0];11[2|0|0|0];11[0|0|0|0];
rate;0|-|-|-|-;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
user;5[0|0|0|0];0|-|-|-|-;5[0|0|0|0];5[0|0|0|0];6[1|0|0|0];6[0|0|0|0];6[0|0|0|0];
