;0;1;
dailyLogs;4[0|0|0|0];4[0|0|0|0];
hallOfFame;6[0|0|0|0];4[0|2|0|0];
portfolios;4[0|0|0|0];4[0|0|0|0];
users;5[0|0|0|0];3[0|2|1|0];
