;0;1;2;3;4;5;6;7;
php_session;0;0;0;0;0;0;0;0;
tbl_email;0;0;0;0;0;0;0;0;
tbl_feed;0;0;0;0;0;0;0;0;
tbl_group;0;0;0;0;0;0;0;0;
tbl_layer;0;0;0;0;0;0;0;1;
tbl_layer_subscription;0;0;0;0;0;0;0;0;
tbl_search_suggest;0;0;0;0;0;0;0;0;
tbl_ssshout;0;0;0;0;0;0;0;0;
tbl_subdomain;0;0;0;0;0;0;0;0;
tbl_user;0;0;0;0;0;0;0;0;
