;0;1;2;3;4;5;6;7;8;9;10;11;
address_definition_changes;0;0;0;0;0;0;0;0;0;0;0;0;
addresses;0;0;0;0;0;0;0;0;0;0;0;0;
archived_joints;0;0;0;0;0;0;0;0;0;0;0;0;
asset_attestors;0;0;0;0;0;0;0;0;0;0;0;0;
asset_denominations;0;0;0;0;0;0;0;0;0;0;0;0;
asset_metadata;0;0;0;0;0;0;0;0;0;0;0;0;
assets;0;0;0;0;0;0;0;0;0;0;0;0;
attestations;0;0;0;0;0;0;0;0;0;0;0;0;
attested_fields;0;0;0;0;0;0;0;0;0;0;0;0;
authentifiers;0;0;0;0;0;0;0;0;0;0;0;0;
balls;0;0;0;0;0;0;0;0;0;0;0;0;
bots;0;0;0;0;0;0;0;0;0;0;0;0;
catchup_chain_balls;0;0;0;0;0;0;0;0;0;0;0;0;
chat_messages;0;0;0;0;0;0;0;0;0;0;0;0;
correspondent_devices;0;0;0;0;0;1;0;0;0;0;0;0;
correspondent_settings;-;-;-;-;-;-;0;0;0;0;0;0;
data_feeds;0;0;0;0;0;0;0;0;0;0;0;0;
definitions;0;0;0;0;0;0;0;0;0;0;0;0;
dependencies;0;0;0;0;0;0;0;0;0;0;0;0;
device_messages;0;0;0;0;0;0;0;0;0;0;0;0;
devices;0;0;0;0;0;0;0;0;0;0;0;0;
earned_headers_commission_recipients;0;0;0;0;0;0;0;0;0;0;0;0;
extended_pubkeys;0;0;0;0;0;0;0;0;0;0;0;0;
hash_tree_balls;0;0;0;0;0;0;0;0;0;0;0;0;
headers_commission_contributions;0;0;0;0;0;0;0;0;0;0;0;0;
headers_commission_outputs;0;0;0;0;0;0;0;0;0;0;0;0;
inputs;0;0;0;0;0;0;0;0;0;0;0;0;
joints;0;0;0;0;0;0;0;0;0;0;0;0;
known_bad_joints;0;0;0;0;0;0;0;0;0;0;0;0;
messages;0;0;0;0;0;0;0;0;0;0;0;0;
my_addresses;0;0;0;0;0;0;0;0;0;0;0;0;
my_witnesses;0;0;0;0;0;0;0;0;0;0;0;0;
original_addresses;0;0;0;0;0;0;0;0;0;0;0;0;
outbox;0;0;0;0;0;0;0;0;0;0;0;0;
outputs;0;0;0;0;0;0;0;0;0;0;0;0;
paid_witness_events;0;0;0;0;0;0;0;0;0;0;0;0;
pairing_secrets;0;0;0;0;0;0;0;0;0;0;0;0;
parenthoods;0;0;0;0;0;0;0;0;0;0;0;0;
peer_addresses;-;-;-;0;0;0;0;0;0;0;0;0;
peer_events;0;0;0;0;0;0;0;0;0;0;0;0;
peer_host_urls;0;0;0;0;0;0;0;0;0;0;0;0;
peer_hosts;0;0;0;0;0;0;0;0;0;0;0;0;
peers;0;0;0;0;0;0;0;0;0;0;0;0;
pending_shared_address_signing_paths;0;0;0;0;0;0;0;0;0;0;0;0;
pending_shared_addresses;0;0;0;0;0;0;0;0;0;0;0;0;
poll_choices;0;0;0;0;0;0;0;0;0;0;0;0;
polls;0;0;0;0;0;0;0;0;0;0;0;0;
private_profile_fields;0;0;0;0;0;0;0;0;0;0;0;0;
private_profiles;0;0;0;0;0;0;0;0;0;0;0;0;
prosaic_contracts;-;-;-;0;0;0;0;0;0;0;0;0;
push_registrations;0;0;0;0;0;0;0;0;0;0;0;0;
sent_mnemonics;0;0;0;0;0;0;0;0;0;0;0;0;
shared_address_signing_paths;0;0;0;0;0;0;0;0;0;0;0;0;
shared_addresses;0;0;0;0;0;0;0;0;0;0;0;0;
skiplist_units;0;0;0;0;0;0;0;0;0;0;0;0;
spend_proofs;0;0;0;0;0;0;0;0;0;0;0;0;
unhandled_joints;0;0;0;0;0;0;0;0;0;0;0;0;
unhandled_private_payments;0;0;0;0;0;0;0;0;0;0;0;0;
unit_authors;0;0;0;0;0;0;0;0;0;0;0;0;
unit_witnesses;0;0;0;0;0;0;0;0;0;0;0;0;
units;0;0;0;0;0;0;0;0;0;0;0;1;
votes;0;0;0;0;0;0;0;0;0;0;0;0;
wallet_signing_paths;0;0;0;0;0;0;0;0;0;0;0;0;
wallets;0;0;0;0;0;0;0;0;0;0;0;0;
watched_light_addresses;0;0;0;0;0;0;0;0;0;0;0;0;
watched_light_units;0;0;0;0;0;0;0;0;0;0;0;0;
witness_list_hashes;0;0;0;0;0;0;0;0;0;0;0;0;
witnessing_outputs;0;0;0;0;0;0;0;0;0;0;0;0;
