;0;1;2;3;4;5;6;7;8;9;10;11;
address_definition_changes;4;4;4;4;4;4;4;4;4;4;4;4;
addresses;2;2;2;2;2;2;2;2;2;2;2;2;
archived_joints;4;4;4;4;4;4;4;4;4;4;4;4;
asset_attestors;4;4;4;4;4;4;4;4;4;4;4;4;
asset_denominations;4;4;4;4;4;4;4;4;4;4;4;4;
asset_metadata;7;7;7;7;7;7;7;7;7;7;7;7;
assets;12;12;12;12;12;12;12;12;12;12;12;12;
attestations;4;4;4;4;4;4;4;4;4;4;4;4;
attested_fields;6;6;6;6;6;6;6;6;6;6;6;6;
authentifiers;4;4;4;4;4;4;4;4;4;4;4;4;
balls;4;4;4;4;4;4;4;4;4;4;4;4;
bots;6;6;6;6;6;6;6;6;6;6;6;6;
catchup_chain_balls;2;2;2;2;2;2;2;2;2;2;2;2;
chat_messages;6;6;6;6;6;6;6;6;6;6;6;6;
correspondent_devices;7;7;7;7;7;8;8;8;8;8;8;8;
correspondent_settings;0;0;0;0;0;0;4;4;4;4;4;4;
data_feeds;5;5;5;5;5;5;5;5;5;5;5;5;
definitions;3;3;3;3;3;3;3;3;3;3;3;3;
dependencies;3;3;3;3;3;3;3;3;3;3;3;3;
device_messages;4;4;4;4;4;4;4;4;4;4;4;4;
devices;4;4;4;4;4;4;4;4;4;4;4;4;
earned_headers_commission_recipients;3;3;3;3;3;3;3;3;3;3;3;3;
extended_pubkeys;6;6;6;6;6;6;6;6;6;6;6;6;
hash_tree_balls;3;3;3;3;3;3;3;3;3;3;3;3;
headers_commission_contributions;4;4;4;4;4;4;4;4;4;4;4;4;
headers_commission_outputs;5;5;5;5;5;5;5;5;5;5;5;5;
inputs;15;15;15;15;15;15;15;15;15;15;15;15;
joints;3;3;3;3;3;3;3;3;3;3;3;3;
known_bad_joints;5;5;5;5;5;5;5;5;5;5;5;5;
messages;8;8;8;8;8;8;8;8;8;8;8;8;
my_addresses;6;6;6;6;6;6;6;6;6;6;6;6;
my_witnesses;1;1;1;1;1;1;1;1;1;1;1;1;
original_addresses;3;3;3;3;3;3;3;3;3;3;3;3;
outbox;5;5;5;5;5;5;5;5;5;5;5;5;
outputs;12;12;12;12;12;12;12;12;12;12;12;12;
paid_witness_events;3;3;3;3;3;3;3;3;3;3;3;3;
pairing_secrets;4;4;4;4;4;4;4;4;4;4;4;4;
parenthoods;2;2;2;2;2;2;2;2;2;2;2;2;
peer_addresses;0;0;0;5;5;5;5;5;5;5;5;5;
peer_events;3;3;3;3;3;3;3;3;3;3;3;3;
peer_host_urls;5;5;5;5;5;5;5;5;5;5;5;5;
peer_hosts;5;5;5;5;5;5;5;5;5;5;5;5;
peers;5;5;5;5;5;5;5;5;5;5;5;5;
pending_shared_address_signing_paths;8;8;8;8;8;8;8;8;8;8;8;8;
pending_shared_addresses;3;3;3;3;3;3;3;3;3;3;3;3;
poll_choices;3;3;3;3;3;3;3;3;3;3;3;3;
polls;3;3;3;3;3;3;3;3;3;3;3;3;
private_profile_fields;5;5;5;5;5;5;5;5;5;5;5;5;
private_profiles;7;7;7;7;7;7;7;7;7;7;7;7;
prosaic_contracts;0;0;0;8;8;8;8;8;8;8;8;8;
push_registrations;3;3;3;3;3;3;3;3;3;3;3;3;
sent_mnemonics;5;5;5;5;5;5;5;5;5;5;5;5;
shared_address_signing_paths;7;7;7;7;7;7;7;7;7;7;7;7;
shared_addresses;3;3;3;3;3;3;3;3;3;3;3;3;
skiplist_units;2;2;2;2;2;2;2;2;2;2;2;2;
spend_proofs;5;5;5;5;5;5;5;5;5;5;5;5;
unhandled_joints;4;4;4;4;4;4;4;4;4;4;4;4;
unhandled_private_payments;7;7;7;7;7;7;7;7;7;7;7;7;
unit_authors;4;4;4;4;4;4;4;4;4;4;4;4;
unit_witnesses;2;2;2;2;2;2;2;2;2;2;2;2;
units;18;18;18;18;18;18;18;18;18;18;18;19;
votes;4;4;4;4;4;4;4;4;4;4;4;4;
wallet_signing_paths;5;5;5;5;5;5;5;5;5;5;5;5;
wallets;6;6;6;6;6;6;6;6;6;6;6;6;
watched_light_addresses;3;3;3;3;3;3;3;3;3;3;3;3;
watched_light_units;3;3;3;3;3;3;3;3;3;3;3;3;
witness_list_hashes;3;3;3;3;3;3;3;3;3;3;3;3;
witnessing_outputs;5;5;5;5;5;5;5;5;5;5;5;5;
