table;dur;birth;death;chngs;s@s;s@e;sAvg
address_definition_changes;12;0;-;0;4;4;4.0
addresses;12;0;-;0;2;2;2.0
archived_joints;12;0;-;0;4;4;4.0
asset_attestors;12;0;-;1;4;4;4.0
asset_denominations;12;0;-;0;4;4;4.0
asset_metadata;12;0;-;0;7;7;7.0
assets;12;0;-;2;12;12;12.0
attestations;12;0;-;0;4;4;4.0
attested_fields;12;0;-;0;6;6;6.0
authentifiers;12;0;-;0;4;4;4.0
balls;12;0;-;0;4;4;4.0
bots;12;0;-;0;6;6;6.0
catchup_chain_balls;12;0;-;0;2;2;2.0
chat_messages;12;0;-;0;6;6;6.0
correspondent_devices;12;0;-;1;7;8;7.5833335
correspondent_settings;6;6;-;0;4;4;4.0
data_feeds;12;0;-;0;5;5;5.0
definitions;12;0;-;1;3;3;3.0
dependencies;12;0;-;0;3;3;3.0
device_messages;12;0;-;0;4;4;4.0
devices;12;0;-;1;4;4;4.0
earned_headers_commission_recipients;12;0;-;0;3;3;3.0
extended_pubkeys;12;0;-;0;6;6;6.0
hash_tree_balls;12;0;-;0;3;3;3.0
headers_commission_contributions;12;0;-;0;4;4;4.0
headers_commission_outputs;12;0;-;0;5;5;5.0
inputs;12;0;-;0;15;15;15.0
joints;12;0;-;0;3;3;3.0
known_bad_joints;12;0;-;1;5;5;5.0
messages;12;0;-;1;8;8;8.0
my_addresses;12;0;-;1;6;6;6.0
my_witnesses;12;0;-;0;1;1;1.0
original_addresses;12;0;-;0;3;3;3.0
outbox;12;0;-;1;5;5;5.0
outputs;12;0;-;0;12;12;12.0
paid_witness_events;12;0;-;0;3;3;3.0
pairing_secrets;12;0;-;0;4;4;4.0
parenthoods;12;0;-;0;2;2;2.0
peer_addresses;9;3;-;1;5;5;5.0
peer_events;12;0;-;0;3;3;3.0
peer_host_urls;12;0;-;0;5;5;5.0
peer_hosts;12;0;-;0;5;5;5.0
peers;12;0;-;0;5;5;5.0
pending_shared_address_signing_paths;12;0;-;1;8;8;8.0
pending_shared_addresses;12;0;-;1;3;3;3.0
poll_choices;12;0;-;1;3;3;3.0
polls;12;0;-;0;3;3;3.0
private_profile_fields;12;0;-;0;5;5;5.0
private_profiles;12;0;-;1;7;7;7.0
prosaic_contracts;9;3;-;0;8;8;8.0
push_registrations;12;0;-;0;3;3;3.0
sent_mnemonics;12;0;-;0;5;5;5.0
shared_address_signing_paths;12;0;-;0;7;7;7.0
shared_addresses;12;0;-;1;3;3;3.0
skiplist_units;12;0;-;0;2;2;2.0
spend_proofs;12;0;-;0;5;5;5.0
unhandled_joints;12;0;-;0;4;4;4.0
unhandled_private_payments;12;0;-;0;7;7;7.0
unit_authors;12;0;-;0;4;4;4.0
unit_witnesses;12;0;-;0;2;2;2.0
units;12;0;-;1;18;19;18.083334
votes;12;0;-;1;4;4;4.0
wallet_signing_paths;12;0;-;0;5;5;5.0
wallets;12;0;-;1;6;6;6.0
watched_light_addresses;12;0;-;0;3;3;3.0
watched_light_units;12;0;-;0;3;3;3.0
witness_list_hashes;12;0;-;0;3;3;3.0
witnessing_outputs;12;0;-;0;5;5;5.0
