;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;
advertisement;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];8[3|1|4|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
article_gctt;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
articles;23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];23[0|0|0|0];25[2|0|1|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];26[1|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];26[0|0|0|0];27[1|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];
authority;9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
auto_crawl_rule;0|-|-|-|-;14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];
bind_user;8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];13[7|2|1|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];
book;0|-|-|-|-;0|-|-|-|-;21[0|0|0|0];21[0|0|10|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];21[0|0|0|0];22[1|0|0|0];22[0|0|0|0];25[3|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];
comments;9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
crawl_rule;13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];14[1|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];
default_avatar;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
