table;dur;birth;death;chngs;s@s;s@e;sAvg
advertisement;46;0;-;8;6;8;7.695652
article_gctt;16;30;-;0;7;7;7.0
articles;46;0;-;5;23;27;25.5
authority;46;0;-;0;9;9;9.0
auto_crawl_rule;45;1;-;0;14;14;14.0
bind_user;46;0;-;10;8;13;11.913043
book;44;2;-;14;21;25;24.045454
comments;46;0;-;0;9;9;9.0
crawl_rule;46;0;-;1;13;14;13.869565
default_avatar;42;4;-;0;4;4;4.0
download;9;37;-;2;13;14;13.444445
dynamic;46;0;-;0;7;7;7.0
favorites;46;0;-;0;5;5;5.0
feed;35;11;-;0;16;16;16.0
friend_link;42;4;-;0;7;7;7.0
gctt_git;16;30;-;5;7;11;10.1875
gctt_issue;10;36;-;0;10;10;10.0
gctt_timeline;12;34;-;0;4;4;4.0
gctt_user;16;30;-;4;10;12;11.5
gift;31;15;-;1;12;13;12.967742
gift_redeem;31;15;-;0;7;7;7.0
image;46;0;-;0;8;8;8.0
learning_material;42;4;-;0;8;8;8.0
likes;46;0;-;0;6;6;6.0
message;46;0;-;0;9;9;9.0
mission;37;9;-;0;10;10;10.0
morning_reading;46;0;-;0;10;10;10.0
open_project;46;0;-;2;24;26;25.52174
page_ad;46;0;-;12;6;7;6.847826
recommend_node;25;21;-;0;7;7;7.0
resource;46;0;-;4;10;13;12.282609
resource_category;46;0;-;0;5;5;5.0
resource_ex;46;0;-;0;6;6;6.0
role;46;0;-;0;6;6;6.0
role_authority;46;0;-;0;5;5;5.0
search_stat;46;0;-;0;5;5;5.0
subject;15;31;-;3;9;11;10.066667
subject_admin;15;31;-;0;5;5;5.0
subject_article;15;31;-;0;6;6;6.0
subject_follower;15;31;-;0;5;5;5.0
system_message;46;0;-;0;7;7;7.0
topic_append;21;25;-;0;5;5;5.0
topics;46;0;-;6;13;16;14.565217
topics_ex;46;0;-;0;6;6;6.0
topics_node;46;0;-;7;6;10;8.804348
user_active;46;0;-;0;7;7;7.0
user_balance_detail;37;9;-;0;8;8;8.0
user_exchange_record;31;15;-;0;7;7;7.0
user_info;46;0;-;10;19;24;21.217392
user_login;46;0;-;1;7;8;7.1086955
user_login_mission;37;9;-;0;7;7;7.0
user_recharge;26;20;-;0;7;7;7.0
user_role;46;0;-;0;3;3;3.0
user_setting;37;9;-;0;6;6;6.0
view_record;34;12;-;0;6;6;6.0
view_source;17;29;-;0;11;11;11.0
website_setting;42;4;-;6;17;22;21.52381
wechat_user;7;39;-;0;10;10;10.0
wiki;46;0;-;5;9;11;10.673913
