;0;1;2;3;4;5;6;7;8;9;
imageinfo;11[0|0|0|0];11[0|0|0|0];11[0|0|0|0];12[1|0|0|0];12[0|0|0|0];12[0|0|0|0];12[1|1|0|0];12[0|0|1|0];12[0|0|1|0];12[0|0|0|0];
imagevariations;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;5[0|0|0|0];5[1|1|0|0];5[0|0|1|0];5[0|0|1|0];5[0|0|0|0];
metadata;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
shorturl;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[1|1|0|0];5[0|0|1|0];5[0|0|1|0];5[0|0|0|0];
storage_image_variations;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;4[0|0|0|0];4[0|0|0|0];4[1|1|0|0];4[0|0|1|0];4[0|0|1|0];0|-|-|-|-;
storage_images;0|-|-|-|-;0|-|-|-|-;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[1|1|0|0];4[0|0|1|0];4[0|0|1|0];0|-|-|-|-;
