;0;1;2;3;4;5;6;7;8;9;10;
new_s_article_configurator_options;0;0;0;0;0;0;0;0;0;0;0;
new_s_article_configurator_set_group_relations;0;0;0;0;0;0;0;0;0;0;0;
new_s_article_configurator_set_option_relations;0;0;0;0;0;0;0;0;0;0;0;
s_addon_premiums;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_dependencies;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_groups;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_option_relations;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_options;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_price_surcharges;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_set_group_relations;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_set_option_relations;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_sets;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_template_prices;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_template_prices_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_article_configurator_templates_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_article_img_mapping_rules;0;0;0;0;0;0;0;0;0;0;0;
s_article_img_mappings;0;0;0;0;0;0;0;0;0;0;0;
s_articles;0;0;0;0;0;0;0;0;0;0;0;
s_articles_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_articles_avoid_customergroups;0;0;0;0;0;0;0;0;0;0;0;
s_articles_categories;0;0;0;0;0;0;0;0;0;0;0;
s_articles_details;0;0;0;0;0;0;0;0;0;0;0;
s_articles_downloads;0;0;0;0;0;0;0;0;0;0;0;
s_articles_downloads_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_articles_esd;0;0;0;0;0;0;0;0;0;0;0;
s_articles_esd_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_articles_esd_serials;0;0;0;0;0;0;0;0;0;0;0;
s_articles_img;0;0;0;0;0;0;0;0;0;0;0;
s_articles_img_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_articles_information;0;0;0;0;0;0;0;0;0;0;0;
s_articles_information_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_articles_notification;0;0;0;0;0;0;0;0;0;0;0;
s_articles_prices;0;0;0;0;0;0;0;0;0;0;0;
s_articles_prices_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_articles_relationships;0;0;0;0;0;0;0;0;0;0;0;
s_articles_similar;0;0;0;0;0;0;0;0;0;0;0;
s_articles_supplier;0;0;0;0;0;0;0;0;0;0;0;
s_articles_supplier_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_articles_translations;0;0;0;0;0;0;0;0;0;0;0;
s_articles_vote;0;0;0;0;0;0;0;0;0;0;0;
s_billing_template;0;0;0;0;0;0;0;0;0;0;0;
s_blog;0;0;0;0;0;0;0;0;0;0;0;
s_blog_assigned_articles;0;0;0;0;0;0;0;0;0;0;0;
s_blog_attributes;0;0;0;0;0;0;0;0;0;0;0;
s_blog_comments;0;0;0;0;0;0;0;0;0;0;0;
s_blog_media;0;0;0;0;0;0;0;0;0;0;0;
s_blog_tags;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_articles;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_banner;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_containers;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_groups;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_html;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_links;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_logs;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_mailaddresses;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_maildata;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_mailings;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_positions;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_sender;0;0;0;0;0;0;0;0;0;0;0;
s_campaigns_templates;0;0;0;0;0;0;0;0;0;0;0;
s_categories;0;0;0;0;0;0;0;0;0;0;0;
