table;dur;birth;death;chngs;s@s;s@e;sAvg
s_core_sessions;11;0;-;0;6;6;6.0
s_core_shop_currencies;11;0;-;0;2;2;2.0
s_core_shop_pages;11;0;-;0;2;2;2.0
s_core_shops;11;0;-;0;21;21;21.0
s_core_shops_new;11;0;-;0;22;22;22.0
s_core_snippets;11;0;-;0;8;8;8.0
s_core_states;11;0;-;0;5;5;5.0
s_core_subscribes;11;0;-;0;6;6;6.0
s_core_tax;11;0;-;0;3;3;3.0
s_core_tax_rules;11;0;-;0;9;9;9.0
s_core_templates;11;0;-;0;11;11;11.0
s_core_translations;11;0;-;0;5;5;5.0
s_core_units;11;0;-;0;3;3;3.0
s_core_widget_views;11;0;-;0;6;6;6.0
s_core_widgets;11;0;-;0;3;3;3.0
s_crontab;11;0;-;0;13;13;13.0
s_emarketing_banners;11;0;-;0;10;10;10.0
s_emarketing_banners_attributes;11;0;-;0;2;2;2.0
s_emarketing_banners_statistics;11;0;-;0;5;5;5.0
s_emarketing_lastarticles;11;0;-;0;8;8;8.0
s_emarketing_partner;11;0;-;0;20;20;20.0
s_emarketing_promotion_articles;11;0;-;0;9;9;9.0
s_emarketing_promotion_banner;11;0;-;0;6;6;6.0
s_emarketing_promotion_containers;11;0;-;0;6;6;6.0
s_emarketing_promotion_html;11;0;-;0;4;4;4.0
s_emarketing_promotion_links;11;0;-;0;6;6;6.0
s_emarketing_promotion_main;11;0;-;0;12;12;12.0
s_emarketing_promotion_positions;11;0;-;0;4;4;4.0
s_emarketing_promotions;11;0;-;0;12;12;12.0
s_emarketing_referer;11;0;-;0;4;4;4.0
s_emarketing_tellafriend;11;0;-;0;5;5;5.0
s_emarketing_voucher_codes;11;0;-;0;5;5;5.0
s_emarketing_vouchers;11;0;-;0;19;19;19.0
s_emarketing_vouchers_attributes;11;0;-;0;2;2;2.0
s_emarketing_vouchers_cashed;11;0;-;0;3;3;3.0
s_emotion;11;0;-;0;19;19;19.0
s_emotion_attributes;11;0;-;0;2;2;2.0
s_emotion_attributes_new;11;0;-;0;29;29;29.0
s_emotion_categories;11;0;-;0;3;3;3.0
s_emotion_element;11;0;-;0;7;7;7.0
s_emotion_element_value;11;0;-;0;6;6;6.0
s_emotion_grid;11;0;-;0;6;6;6.0
s_emotion_new;11;0;-;0;20;20;20.0
s_export;11;0;-;0;30;30;30.0
s_export_articles;11;0;-;0;2;2;2.0
s_export_attributes;11;0;-;0;2;2;2.0
s_export_categories;11;0;-;0;2;2;2.0
s_export_suppliers;11;0;-;0;2;2;2.0
s_filter;11;0;-;0;5;5;5.0
s_filter_articles;11;0;-;0;2;2;2.0
s_filter_attributes;11;0;-;0;2;2;2.0
s_filter_options;11;0;-;0;4;4;4.0
s_filter_relations;11;0;-;0;4;4;4.0
s_filter_values;11;0;-;0;4;4;4.0
s_library_component;11;0;-;0;8;8;8.0
s_library_component_field;11;0;-;0;14;14;14.0
s_media;11;0;-;0;10;10;10.0
s_media_album;11;0;-;0;4;4;4.0
s_media_album_settings;11;0;-;0;5;5;5.0
s_media_association;11;0;-;0;4;4;4.0
s_media_attributes;11;0;-;0;2;2;2.0
s_order;11;0;-;0;28;28;28.0
s_order_attributes;11;0;-;0;8;8;8.0
s_order_basket;11;0;-;0;22;22;22.0
s_order_basket_attributes;11;0;-;0;8;8;8.0
s_order_billingaddress;11;0;-;0;18;18;18.0
s_order_billingaddress_attributes;11;0;-;0;8;8;8.0
s_order_comparisons;11;0;-;0;6;6;6.0
s_order_details;11;0;-;0;17;17;17.0
s_order_details_attributes;11;0;-;0;8;8;8.0
s_order_documents;11;0;-;0;8;8;8.0
s_order_documents_attributes;11;0;-;0;2;2;2.0
s_order_esd;11;0;-;0;7;7;7.0
s_order_history;11;0;-;0;9;9;9.0
s_order_notes;11;0;-;0;7;7;7.0
s_order_number;11;0;-;0;4;4;4.0
s_order_shippingaddress;11;0;-;0;14;14;14.0
s_order_shippingaddress_attributes;11;0;-;0;8;8;8.0
s_plugin_benchmark_log;11;0;-;0;9;9;9.0
s_plugin_recommendations;11;0;-;0;6;6;6.0
s_plugin_widgets_notes;11;0;-;0;3;3;3.0
s_premium_dispatch;11;0;-;0;27;27;27.0
s_premium_dispatch_attributes;11;0;-;0;2;2;2.0
s_premium_dispatch_categories;11;0;-;0;2;2;2.0
s_premium_dispatch_countries;11;0;-;0;2;2;2.0
s_premium_dispatch_holidays;11;0;-;0;2;2;2.0
s_premium_dispatch_paymentmeans;11;0;-;0;2;2;2.0
s_premium_holidays;11;0;-;0;4;4;4.0
s_premium_shippingcosts;11;0;-;0;5;5;5.0
s_search_fields;11;0;-;0;5;5;5.0
s_search_index;11;0;-;0;3;3;3.0
s_search_keywords;11;0;-;0;3;3;3.0
s_search_tables;11;0;-;0;5;5;5.0
s_statistics_currentusers;11;0;-;0;5;5;5.0
s_statistics_pool;11;0;-;0;3;3;3.0
s_statistics_referer;11;0;-;0;3;3;3.0
s_statistics_search;11;0;-;0;4;4;4.0
s_statistics_search_new;11;0;-;0;4;4;4.0
s_statistics_visitors;11;0;-;0;5;5;5.0
s_user;11;0;-;0;22;22;22.0
s_user_attributes;11;0;-;0;2;2;2.0
s_user_billingaddress;11;0;-;0;18;18;18.0
s_user_billingaddress_attributes;11;0;-;0;8;8;8.0
s_user_debit;11;0;-;0;6;6;6.0
s_user_shippingaddress;11;0;-;0;13;13;13.0
s_user_shippingaddress_attributes;11;0;-;0;8;8;8.0
