;0;1;2;
note;0|-|-|-|-;6[0|0|0|0];6[0|0|0|0];
user;9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
user_status;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
