Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
note	2	1	-	2	2016-04-26 06:59:18	2017-05-16 05:21:09	1	2	384	6	6	6	1	0	0	0	0		20	0	20
user	3	0	-	2	2015-07-26 20:58:36	2017-05-16 05:21:09	0	2	659	9	9	9	1	0	0	0	0		20	0	20
user_status	3	0	-	2	2015-07-26 20:58:36	2017-05-16 05:21:09	0	2	659	5	5	5	1	0	0	0	0		20	0	20
