Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
LocalizedTypes	2	0	-	1	2012-01-27 13:28:46	2012-02-09 14:30:24	0	1	13	8	8	8	1	0	0	0	0		20	0	20
LocalizedViews	2	0	-	1	2012-01-27 13:28:46	2012-02-09 14:30:24	0	1	13	8	8	8	1	0	0	0	0		20	0	20
