;0;1;2;3;4;
dataset;7[0|0|0|0];7[0|0|0|0];8[1|0|0|0];10[2|0|0|0];10[0|0|0|0];
heartbeat;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
status;6[0|0|0|0];7[1|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
