trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1446128000;1440422932.sql;1446128000.sql;2;2;6;6;0;0;0;0;0;0;0;0
2;1467290702;1446128000.sql;1467290702.sql;2;2;6;6;0;0;0;0;4;0;0;0
