trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1365189108		1365189108.sql	2013-04-05 19:11:48	0	0	0		37		179	37	0	179	0	0	0	0	0			179	0	0	179	0	179	
1	1366203002	1365189108.sql	1366203002.sql	2013-04-17 12:50:02	11	1	1	37	37	179	179	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
2	1366301683	1366203002.sql	1366301683.sql	2013-04-18 16:14:43	12	1	1	37	48	179	214	11	0	36	0	0	1	0	0	11	35	36	1	0	36	1	37	
3	1366384427	1366301683.sql	1366384427.sql	2013-04-19 15:13:47	13	1	1	48	49	214	216	1	0	2	0	0	0	0	0	1	2	2	0	0	2	0	2	
4	1368198982	1366384427.sql	1368198982.sql	2013-05-10 15:16:22	34	1	2	49	52	216	227	5	2	12	5	4	0	1	0	3	11	16	5	1	16	6	22	
5	1368478570	1368198982.sql	1368478570.sql	2013-05-13 20:56:10	38	1	2	52	52	227	227	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
6	1371487156	1368478570.sql	1371487156.sql	2013-06-17 16:39:16	72	1	3	52	54	227	243	2	0	16	0	0	0	0	0	2	16	16	0	0	16	0	16	
7	1372935658	1371487156.sql	1372935658.sql	2013-07-04 11:00:58	89	1	3	54	54	243	244	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
8	1373294682	1372935658.sql	1373294682.sql	2013-07-08 14:44:42	93	1	4	54	54	244	243	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1	
9	1379414158	1373294682.sql	1379414158.sql	2013-09-17 10:35:58	164	1	6	54	54	243	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1379415004	1379414158.sql	1379415004.sql	2013-09-17 10:50:04	164	1	6	54	51	243	242	0	3	0	7	9	3	0	0	-3	-1	9	10	0	9	10	19	
11	1379504127	1379415004.sql	1379504127.sql	2013-09-18 11:35:27	165	1	6	51	54	242	243	3	0	7	0	3	9	0	0	3	1	10	9	0	10	9	19	
12	1379604938	1379504127.sql	1379604938.sql	2013-09-19 15:35:38	166	1	6	54	51	243	242	0	3	0	7	9	3	0	0	-3	-1	9	10	0	9	10	19	
13	1391084170	1379604938.sql	1391084170.sql	2014-01-30 12:16:10	299	1	10	51	52	242	248	1	0	3	0	4	1	0	0	1	6	7	1	0	7	1	8	
14	1392288714	1391084170.sql	1392288714.sql	2014-02-13 10:51:54	313	1	11	52	52	248	248	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
15	1406628784	1392288714.sql	1406628784.sql	2014-07-29 10:13:04	479	2	16	52	52	248	249	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	2	
16	1409828129	1406628784.sql	1409828129.sql	2014-09-04 10:55:29	516	2	17	52	52	249	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	1425641377	1409828129.sql	1425641377.sql	2015-03-06 11:29:37	699	2	24	52	52	249	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	1426679865	1425641377.sql	1426679865.sql	2015-03-18 11:57:45	711	2	24	52	52	249	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	1426693970	1426679865.sql	1426693970.sql	2015-03-18 15:52:50	711	2	24	52	53	249	253	1	0	4	0	0	0	0	0	1	4	4	0	0	4	0	4	
20	1426851597	1426693970.sql	1426851597.sql	2015-03-20 11:39:57	713	2	24	53	53	253	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	1428415455	1426851597.sql	1428415455.sql	2015-04-07 14:04:15	731	3	25	53	53	253	253	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
22	1431358022	1428415455.sql	1431358022.sql	2015-05-11 15:27:02	765	3	26	53	59	253	274	6	0	21	0	0	0	0	0	6	21	21	0	0	21	0	21	
23	1434202225	1431358022.sql	1434202225.sql	2015-06-13 13:30:25	798	3	27	59	59	274	275	0	0	0	0	2	1	0	0	0	1	2	1	0	2	1	3	
24	1434714202	1434202225.sql	1434714202.sql	2015-06-19 11:43:22	804	3	27	59	59	275	275	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
25	1435072941	1434714202.sql	1435072941.sql	2015-06-23 15:22:21	808	3	27	59	60	275	281	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	
26	1442415021	1435072941.sql	1442415021.sql	2015-09-16 14:50:21	893	3	30	60	60	281	280	0	0	0	0	0	1	0	1	0	-1	0	1	1	0	2	2	
27	1444063147	1442415021.sql	1444063147.sql	2015-10-05 16:39:07	912	3	30	60	60	280	279	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1	
28	1462445957	1444063147.sql	1462445957.sql	2016-05-05 10:59:17	1125	4	37	60	60	279	279	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	
