table;dur;birth;death;chngs;s@s;s@e;sAvg
apps_branding;29;0;-;0;7;7;7.0
apps_feed;29;0;-;0;4;4;4.0
apps_feed_tags;29;0;-;0;2;2;2.0
apps_feed_translation;29;0;-;0;5;5;5.0
apps_feed_uploads;29;0;-;12;3;5;4.2413793
apps_feedback;29;0;-;0;8;8;8.0
apps_feedback_recipient;27;2;-;0;3;3;3.0
apps_feedback_recipient_translation;27;2;-;0;3;3;3.0
apps_news;29;0;-;0;7;7;7.0
apps_news_comment;23;6;-;0;8;8;8.0
apps_news_tags;29;0;-;0;2;2;2.0
apps_news_translation;29;0;-;0;5;5;5.0
apps_news_uploads;29;0;-;12;3;5;4.2413793
apps_top_groups;7;22;-;0;2;2;2.0
apps_top_groups_translation;7;22;-;0;3;3;3.0
apps_tops;7;22;-;0;5;5;5.0
apps_tops_translation;7;22;-;0;4;4;4.0
apps_tops_uploads;7;22;-;0;5;5;5.0
apps_tops_uploads_tags;7;22;-;0;2;2;2.0
apps_vote;27;2;-;0;3;3;3.0
apps_vote_question;27;2;-;0;4;4;4.0
apps_vote_question_translation;27;2;-;0;3;3;3.0
apps_vote_translation;27;2;-;0;3;3;3.0
form_5;27;2;-;5;3;7;6.703704
form_5_field_2;2;2;3;0;2;2;2.0
form_5_field_2_translation;2;2;3;0;3;3;3.0
form_5_field_5_multi;25;4;-;0;2;2;2.0
form_5_field_5_multi_values;25;4;-;0;2;2;2.0
form_5_field_5_multi_values_translation;25;4;-;0;3;3;3.0
form_5_field_6;25;4;-;0;2;2;2.0
form_5_field_6_translation;25;4;-;0;3;3;3.0
frm_forms;27;2;-;0;4;4;4.0
frm_forms_translation;27;2;-;0;5;5;5.0
share_access_level;29;0;-;0;3;3;3.0
share_action_log;4;25;-;0;6;6;6.0
share_domain2site;29;0;-;0;2;2;2.0
share_domains;29;0;-;0;5;5;5.0
share_lang_tags;29;0;-;2;2;2;2.0344827
share_lang_tags_translation;29;0;-;0;3;3;3.0
share_languages;29;0;-;0;6;6;6.0
share_session;29;0;-;1;9;9;9.0
share_sitemap;29;0;-;3;12;13;12.206897
share_sitemap_comment;23;6;-;2;8;8;8.0
share_sitemap_tags;29;0;-;0;2;2;2.0
share_sitemap_translation;29;0;-;1;8;9;8.4827585
share_sitemap_uploads;29;0;-;12;3;5;4.2413793
share_sites;29;0;-;1;8;7;7.9310346
share_sites_properties;10;19;-;0;4;4;4.0
share_sites_tags;29;0;-;0;2;2;2.0
share_sites_translation;29;0;-;0;5;5;5.0
share_tags;29;0;-;2;2;2;2.0
share_tags_translation;16;13;-;0;3;3;3.0
share_textblocks;29;0;-;0;3;3;3.0
share_textblocks_translation;29;0;-;0;3;3;3.0
share_uploads;29;0;-;4;19;22;20.655172
share_uploads_tags;29;0;-;0;2;2;2.0
share_widgets;29;0;-;0;4;4;4.0
test_feed;26;3;-;0;2;2;2.0
user_ban_ips;11;0;11;0;3;3;3.0
user_fb_storage;11;0;11;0;2;2;2.0
user_group_rights;29;0;-;0;3;3;3.0
user_groups;29;0;-;1;4;4;4.0
user_user_groups;29;0;-;0;2;2;2.0
user_users;29;0;-;4;14;12;12.965517
user_users_ban;11;0;11;0;2;2;2.0
