;0;1;2;
logging_event;16[0|0|0|0];16[0|0|0|0];16[0|0|0|0];
logging_event_exception;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
logging_event_property;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
