;0;1;2;3;
city;5[0|0|0|0];5[0|0|2|0];5[0|0|0|0];5[0|0|0|0];
country;15[0|0|0|0];15[0|0|6|0];15[0|0|0|0];15[0|0|0|0];
countrylanguage;4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];4[0|0|0|0];
