table;dur;birth;death;chngs;s@s;s@e;sAvg
_feeds;8;0;-;2;2;3;2.375
_stops_routes;1;7;-;0;3;3;3.0
agency;8;0;-;2;8;8;8.0
calendar;8;0;-;2;11;11;11.0
calendar_dates;8;0;-;2;4;4;4.0
fare_attributes;2;0;1;0;7;7;7.0
fare_rules;2;0;1;0;6;6;6.0
feed_info;2;0;1;0;7;7;7.0
frequencies;8;0;-;2;6;6;6.0
routes;8;0;-;2;10;10;10.0
shapes;2;0;1;0;6;6;6.0
stop_times;8;0;-;4;11;12;11.5
stops;8;0;-;2;13;13;13.0
transfers;2;0;1;0;5;5;5.0
trips;8;0;-;3;11;12;11.25
