trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1424862560;1412274775.sql;1424862560.sql;3;3;18;19;0;0;1;0;0;0;0;0
2;1480432130;1424862560.sql;1480432130.sql;3;3;19;21;0;0;2;0;0;0;0;0
3;1495228848;1480432130.sql;1495228848.sql;3;3;21;22;0;0;1;0;0;0;0;0
4;1539788202;1495228848.sql;1539788202.sql;3;1;22;14;0;2;0;0;0;0;0;8
5;1552667628;1539788202.sql;1552667628.sql;1;1;14;14;0;0;0;0;2;0;0;0
