;0;1;2;3;4;5;
fe_users;10[0|0|0|0];11[1|0|0|0];13[2|0|0|0];14[1|0|0|0];14[0|0|0|0];14[0|0|2|0];
tx_aimeos_cache;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];0|-|-|-|-;0|-|-|-|-;
tx_aimeos_cache_tags;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];0|-|-|-|-;0|-|-|-|-;
