;0;1;2;3;
categories;4;4;4;4;
contact;6;6;6;6;
email_confirmations;6;6;6;6;
failed_logins;4;4;4;4;
file_store;0;9;9;9;
password_changes;5;5;5;5;
permissions;4;4;4;4;
posts;10;10;10;10;
posts_all;10;0;0;0;
posts_views;3;3;3;3;
profiles;3;3;3;3;
remember_tokens;5;5;5;5;
reset_passwords;6;6;6;6;
success_logins;4;4;4;4;
users;10;10;10;10;
