;0;1;2;
authors;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
comments;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
permissions_test.column_acl;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
permissions_test.standard_acl;2[0|0|0|0];0|-|-|-|-;2[0|0|0|0];
posts;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
