table;dur;birth;death;chngs;s@s;s@e;sAvg
authors;3;0;-;0;2;2;2.0
comments;3;0;-;0;4;4;4.0
permissions_test.column_acl;3;0;-;0;3;3;3.0
permissions_test.standard_acl;2;0;-;0;2;2;2.0
posts;3;0;-;0;3;3;3.0
