table;dur;birth;death;chngs;s@s;s@e;sAvg
categories;9;0;8;0;4;4;4.0
comments;9;0;8;0;7;7;7.0
extend;9;0;8;0;6;6;6.0
meta;9;0;8;0;2;2;2.0
page_meta;9;0;8;0;4;4;4.0
pages;9;0;8;2;8;7;7.5555553
post_meta;9;0;8;0;4;4;4.0
posts;9;0;8;3;11;12;11.222222
sessions;9;0;8;2;3;3;3.0
users;9;0;8;0;8;8;8.0
{{prefix}}categories;8;9;-;0;4;4;4.0
{{prefix}}comments;8;9;-;0;7;7;7.0
{{prefix}}extend;8;9;-;2;6;6;6.0
{{prefix}}meta;8;9;-;0;2;2;2.0
{{prefix}}page_meta;8;9;-;0;4;4;4.0
{{prefix}}pages;8;9;-;2;7;9;8.75
{{prefix}}post_meta;8;9;-;0;4;4;4.0
{{prefix}}posts;8;9;-;0;12;12;12.0
{{prefix}}sessions;8;9;-;0;3;3;3.0
{{prefix}}users;8;9;-;0;8;8;8.0
