;0;1;2;3;
cpu_proc;8[0|0|0|0];8[0|0|0|0];9[1|0|1|0];9[0|0|0|0];
cpu_sys;6[0|0|0|0];6[0|0|0|0];6[0|0|1|0];6[0|0|0|0];
event_log;5[0|0|0|0];5[0|0|0|0];5[1|1|0|0];5[0|0|0|0];
event_type;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
io_sys;10[0|0|0|0];10[0|0|0|0];10[0|0|1|0];10[0|0|0|0];
mem_proc;6[0|0|0|0];6[0|0|0|0];6[0|0|1|0];6[0|0|0|0];
mem_sys;11[0|0|0|0];11[0|0|0|0];12[1|0|1|0];12[0|0|0|0];
proc_info;4[0|0|0|0];4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];
session_info;2[0|0|0|0];2[0|0|0|0];3[1|0|0|0];3[0|0|0|0];
