;0;1;2;3;4;
zipkin_annotations;12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];
zipkin_dependencies;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
zipkin_spans;9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];10[1|0|0|0];10[0|0|0|0];
