;0;1;2;3;4;5;
collection;0;3;3;3;3;4;
collection_field;0;3;0;0;0;0;
collectionfield;0;0;3;3;3;0;
field;5;5;5;5;5;7;
language;0;0;0;0;0;3;
option;3;3;3;3;3;0;
options;0;0;0;0;0;4;
