table;dur;birth;death;chngs;s@s;s@e;sAvg
collection;5;1;-;1;3;4;3.2
collection_field;1;1;1;0;3;3;3.0
collectionfield;3;2;4;0;3;3;3.0
field;6;0;-;2;5;7;5.3333335
language;1;5;-;0;3;3;3.0
option;5;0;4;0;3;3;3.0
options;1;5;-;0;4;4;4.0
