;0;1;2;3;4;5;6;7;
band;3;3;3;3;3;3;3;3;
band_concert;5;5;5;5;5;5;3;3;
band_concert_record;0;0;0;0;0;0;5;5;
concert;7;7;7;7;7;7;7;7;
retailer;3;3;3;3;3;3;3;3;
state;3;3;3;3;3;3;3;3;
ticket_record;0;0;0;0;0;0;5;5;
ticket_records;5;5;5;5;5;5;0;0;
