;0;1;2;3;4;5;6;7;
band;0;0;0;0;0;0;0;0;
band_concert;0;0;0;0;0;0;2;0;
band_concert_record;-;-;-;-;-;-;0;0;
concert;0;0;0;0;0;0;0;0;
retailer;0;0;0;0;0;0;0;0;
state;0;0;0;0;0;0;0;0;
ticket_record;-;-;-;-;-;-;0;0;
ticket_records;0;0;0;0;0;0;-;-;
