;0;1;2;3;
commit_diff_deltas;0|-|-|-|-;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
commits;12[0|0|0|0];12[0|0|0|0];12[0|0|0|0];11[0|1|0|0];
