table;dur;birth;death;chngs;s@s;s@e;sAvg
{install:prefix}acl_objects;266;0;-;2;6;6;6.0
{install:prefix}acl_privileges;266;0;-;2;8;8;8.0
{install:prefix}admin_actions;266;0;-;2;10;10;10.0
{install:prefix}admin_pages;266;0;-;3;14;13;13.146617
{install:prefix}admin_pages_groups;266;0;-;3;5;4;4.1466165
{install:prefix}api_tokens;207;59;-;1;4;5;4.995169
{install:prefix}blocks;266;0;-;8;21;19;20.364662
{install:prefix}blocks_pages;3;0;2;1;3;3;3.0
{install:prefix}config;266;0;-;10;14;11;12.165414
{install:prefix}config_custom;266;0;-;3;5;6;5.9736843
{install:prefix}config_groups;266;0;-;3;4;3;3.1616542
{install:prefix}cron;266;0;-;7;6;8;7.9473686
{install:prefix}currencies;73;193;-;6;8;11;10.958904
{install:prefix}email_templates;77;189;-;4;8;8;8.0
{install:prefix}extras;153;0;152;1;16;17;16.980392
{install:prefix}favorites;266;0;-;0;3;3;3.0
{install:prefix}fields;266;0;-;12;35;39;37.951126
{install:prefix}fields_groups;266;0;-;2;9;9;9.0
{install:prefix}fields_image_types;201;65;-;9;3;2;2.323383
{install:prefix}fields_pages;266;0;-;2;4;2;2.6165414
{install:prefix}fields_relations;266;0;-;4;6;4;4.6165414
{install:prefix}fields_tree_nodes;259;7;-;2;8;8;8.0
{install:prefix}file_types;201;65;-;6;4;4;4.0
{install:prefix}hooks;266;0;-;2;10;10;10.0
{install:prefix}image_types;201;65;-;5;7;7;6.9850745
{install:prefix}image_types_filetypes;135;131;-;0;2;2;2.0
{install:prefix}invoices;247;19;-;2;9;11;10.7530365
{install:prefix}invoices_items;247;19;-;0;6;6;6.0
{install:prefix}items;266;0;-;4;7;9;7.4661655
{install:prefix}items_pages;266;0;-;0;3;3;3.0
{install:prefix}language;266;0;-;4;7;8;7.131579
{install:prefix}languages;260;6;-;11;12;13;12.326923
{install:prefix}logs;266;0;-;2;6;6;6.0
{install:prefix}members;266;0;-;14;22;33;31.601503
{install:prefix}members_addresses;5;261;-;0;5;5;5.0
{install:prefix}members_auth_providers;248;18;-;14;4;4;4.0080647
{install:prefix}menus;244;0;-;0;6;6;6.0
{install:prefix}migrations;152;91;-;1;4;5;4.894737
{install:prefix}modules;113;153;-;1;17;17;17.0
{install:prefix}oauth;4;55;58;0;6;6;6.0
{install:prefix}objects_pages;241;3;-;0;4;4;4.0
{install:prefix}online;244;0;-;0;9;9;9.0
{install:prefix}pages;244;0;-;14;20;22;22.709017
{install:prefix}payment_gateways;244;0;-;4;4;3;3.012295
{install:prefix}payment_gateways_ipn_log;240;4;-;0;5;5;5.0
{install:prefix}payment_plans;241;3;-;2;14;16;15.60166
{install:prefix}payment_plans_options;193;51;-;0;6;6;6.0
{install:prefix}payment_plans_options_values;193;51;-;0;4;4;4.0
{install:prefix}payment_subscriptions;241;3;-;6;5;9;8.385892
{install:prefix}payment_transactions;240;4;-;7;17;21;20.5625
{install:prefix}plans;3;0;2;0;13;13;13.0
{install:prefix}positions;241;3;-;0;3;3;3.0
{install:prefix}search;224;0;-;0;6;6;6.0
{install:prefix}transactions;4;0;3;15;19;15;18.0
{install:prefix}usergroups;244;0;-;8;3;7;5.9795084
{install:prefix}views_log;244;0;-;0;5;5;5.0
