table;dur;birth;death;chngs;s@s;s@e;sAvg
tp_account_actions;190;0;-;23;7;10;9.073684
tp_action_plans;150;40;-;16;6;7;6.846667
tp_action_timings;40;0;39;8;6;6;6.0
tp_action_triggers;190;0;-;91;9;24;19.878948
tp_actions;190;0;-;94;12;20;17.605263
tp_alias;1;153;153;0;11;11;11.0
tp_alias_profiles;1;152;152;0;11;11;11.0
tp_aliases;83;95;177;6;12;14;13.8795185
tp_attributes;36;154;-;11;13;14;13.5
tp_cdr_stats;111;52;168;40;23;28;26.693693
tp_cdrstats;6;87;93;31;26;28;23.833334
tp_chargers;24;166;-;1;9;10;9.791667
tp_derived_chargers;135;44;178;50;19;27;24.562963
tp_destinatins;5;0;4;0;4;4;4.0
tp_destination_rate_timings;5;7;11;0;6;6;6.0
tp_destination_rates;183;7;-;23;5;10;8.469945
tp_destinations;185;5;-;9;4;5;4.6864867
tp_destrate_timings;22;12;33;4;6;6;6.0
tp_dispatcher_hosts;5;185;-;0;7;7;7.0
tp_dispatcher_profiles;4;186;-;0;16;16;16.0
tp_dispatchers;14;172;185;10;10;16;13.857142
tp_filters;53;137;-;1;8;9;8.962264
tp_lcr;5;47;148;3;11;14;13.0
tp_lcr_rules;121;48;168;15;11;14;13.380165
tp_lcrs;2;46;144;0;11;13;12.0
tp_rate_profiles;20;0;22;5;9;10;9.35
tp_rate_timings;7;0;6;1;6;6;6.0
tp_rates;190;0;-;46;7;9;9.08421
tp_rating_plans;156;34;-;16;6;7;6.8141026
tp_rating_profiles;170;19;-;28;10;10;11.211764
tp_resource_limits;14;115;128;10;11;15;12.5
tp_resources;61;129;-;10;15;14;14.4262295
tp_shared_groups;149;41;-;10;6;7;6.852349
tp_stats;66;124;-;20;14;16;15.757576
tp_suppliers;41;149;-;6;17;19;18.707317
tp_threshold_cfgs;1;127;127;0;17;17;17.0
tp_thresholds;62;128;-;16;17;14;14.354838
tp_timings;190;0;-;10;8;9;8.668421
tp_users;86;93;178;2;7;9;8.744186
versions;72;118;-;0;3;3;3.0
