;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;
pages;2[0|0|0|0];2[0|0|0|0];2[2|2|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|1|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
pages_language_overlay;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|1|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
sys_domain;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];2[1|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
tx_naworkuri_redirect;0|-|-|-|-;13[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
tx_naworkuri_uri;0|-|-|-|-;14[0|0|0|0];15[1|0|0|0];15[0|0|0|0];16[1|0|0|0];17[1|0|0|0];18[1|0|0|0];18[0|0|4|0];18[0|0|0|0];18[0|0|2|0];18[0|0|0|0];18[0|0|0|0];17[5|6|0|0];18[1|0|0|0];18[0|0|1|0];18[0|0|0|0];17[0|1|0|0];17[1|1|0|0];17[0|0|1|0];16[0|1|0|0];17[1|0|0|0];17[0|0|0|0];16[3|4|0|0];16[0|0|0|0];17[1|0|0|0];17[0|0|1|0];
